ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
"4","20",,"0x8504","0x02","0","1","0","0","41","6","0xb21d","66.117.22.131","192.168.1.2","52","0x00","443","49964","1","2","0","32","0x0010","0","0","0","0","1","0","0","219","0x497f","0",
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","20",,"0xb21b","0x02","0","1","0","0","255","17","0x269e","192.168.1.54","224.0.0.251","89","0x00",,,,,,,,,,,,,,,,,,
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6a6","192.168.1.2","157.240.228.60","122","0x00","49553","443","1","1","70","32","0x0018","0","0","0","1","1","0","0","2048","0x5864","0",
"4","20",,"0xbafe","0x02","0","1","0","0","85","6","0x26ee","157.240.228.60","192.168.1.2","52","0x00","443","49553","1","71","0","32","0x0010","0","0","0","0","1","0","0","334","0x8f93","0",
"4","20",,"0xbaff","0x02","0","1","0","0","85","6","0x26a5","157.240.228.60","192.168.1.2","124","0x00","443","49553","1","71","72","32","0x0018","0","0","0","1","1","0","0","334","0x0583","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6ec","192.168.1.2","157.240.228.60","52","0x00","49553","443","71","73","0","32","0x0010","0","0","0","0","1","0","0","2046","0x86da","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0x39de","192.168.1.2","52.7.11.13","90","0x02","49558","443","1","1","38","32","0x0018","0","0","0","1","1","0","0","2048","0x561d","0",
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","20",,"0xfb84","0x02","0","1","0","0","42","6","0xfd41","54.227.95.54","192.168.1.2","76","0x22","443","49890","1","1","24","32","0x0018","0","0","0","1","1","0","0","530","0x7358","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xe300","192.168.1.2","54.227.95.54","52","0x00","49890","443","1","25","0","32","0x0010","0","0","0","0","1","0","0","2048","0xb90d","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xe2e2","192.168.1.2","54.227.95.54","80","0x02","49890","443","1","25","28","32","0x0018","0","0","0","1","1","0","0","2048","0xf2ef","0",
"4","20",,"0xc3fc","0x02","0","1","0","0","234","6","0xcbc6","52.7.11.13","192.168.1.2","84","0x22","443","49558","1","39","32","32","0x0018","0","0","0","1","1","0","0","204","0x8fd4","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0x3a06","192.168.1.2","52.7.11.13","52","0x00","49558","443","39","33","0","32","0x0010","0","0","0","0","1","0","0","2047","0x60df","0",
"4","20",,"0xfb85","0x02","0","1","0","0","42","6","0xfd5a","54.227.95.54","192.168.1.2","52","0x20","443","49890","25","29","0","32","0x0010","0","0","0","0","1","0","0","530","0xbdf9","0",
"4","20",,"0xbb00","0x02","0","1","0","0","85","6","0x2585","157.240.228.60","192.168.1.2","411","0x00","443","49553","73","71","359","32","0x0018","0","0","0","1","1","0","0","334","0x0bba","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6ec","192.168.1.2","157.240.228.60","52","0x00","49553","443","71","432","0","32","0x0010","0","0","0","0","1","0","0","2042","0x6600","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf69b","192.168.1.2","157.240.228.60","133","0x00","49553","443","71","432","81","32","0x0018","0","0","0","1","1","0","0","2048","0x3364","0",
"4","20",,"0xbb01","0x02","0","1","0","0","85","6","0x26eb","157.240.228.60","192.168.1.2","52","0x00","443","49553","432","152","0","32","0x0010","0","0","0","0","1","0","0","334","0x6bcd","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf68d","192.168.1.2","157.240.228.60","147","0x00","49553","443","152","432","95","32","0x0018","0","0","0","1","1","0","0","2048","0xca1b","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf68b","192.168.1.2","157.240.228.60","149","0x00","49553","443","247","432","97","32","0x0018","0","0","0","1","1","0","0","2048","0x54a5","0",
"4","20",,"0xbb02","0x02","0","1","0","0","85","6","0x26ea","157.240.228.60","192.168.1.2","52","0x00","443","49553","432","247","0","32","0x0010","0","0","0","0","1","0","0","334","0x6ab5","0",
"4","20",,"0xbb03","0x02","0","1","0","0","85","6","0x26e9","157.240.228.60","192.168.1.2","52","0x00","443","49553","432","344","0","32","0x0010","0","0","0","0","1","0","0","334","0x6a54","0",
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","20",,"0xbb04","0x02","0","1","0","0","85","6","0x2557","157.240.228.60","192.168.1.2","453","0x00","443","49553","432","344","401","32","0x0018","0","0","0","1","1","0","0","334","0x589d","0",
"4","20",,"0xbb05","0x02","0","1","0","0","85","6","0x2530","157.240.228.60","192.168.1.2","491","0x00","443","49553","833","344","439","32","0x0018","0","0","0","1","1","0","0","334","0x59bb","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6ec","192.168.1.2","157.240.228.60","52","0x00","49553","443","344","1272","0","32","0x0010","0","0","0","0","1","0","0","2034","0x5e4c","0",
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","20",,"0x521c","0x00","0","0","0","0","64","17","0xa53f","192.168.1.2","192.168.1.1","62","0x00",,,,,,,,,,,,,,,,,,
"4","20",,"0x0000","0x02","0","1","0","0","64","17","0xb732","192.168.1.1","192.168.1.2","103","0x00",,,,,,,,,,,,,,,,,,
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6e0","192.168.1.2","157.240.228.60","64","0x00","49971","443","0","0","0","44","0x00c2","0","1","0","0","0","0","1","65535","0x61c3","0","1460"
"4","20",,"0x0000","0x02","0","1","0","0","85","6","0xe1e4","157.240.228.60","192.168.1.2","60","0x00","443","49971","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0xf6ff","0","1392"
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6ec","192.168.1.2","157.240.228.60","52","0x00","49971","443","1","1","0","32","0x0010","0","0","0","0","1","0","0","131072","0x1d82","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf4e7","192.168.1.2","157.240.228.60","569","0x00","49971","443","1","1","517","32","0x0018","0","0","0","1","1","0","0","131072","0xb06f","0",
"4","20",,"0x83f1","0x02","0","1","0","0","85","6","0x5dfb","157.240.228.60","192.168.1.2","52","0x00","443","49971","1","518","0","32","0x0010","0","0","0","0","1","0","0","66816","0x2271","0",
"4","20",,"0x83f2","0x02","0","1","0","0","85","6","0x5d26","157.240.228.60","192.168.1.2","264","0x00","443","49971","1","518","212","32","0x0018","0","0","0","1","1","0","0","66816","0x3dcc","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6ec","192.168.1.2","157.240.228.60","52","0x00","49971","443","518","213","0","32","0x0010","0","0","0","0","1","0","0","130880","0x1a9a","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6ac","192.168.1.2","157.240.228.60","116","0x00","49971","443","518","213","64","32","0x0018","0","0","0","1","1","0","0","131072","0x50b8","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf690","192.168.1.2","157.240.228.60","144","0x00","49971","443","582","213","92","32","0x0018","0","0","0","1","1","0","0","131072","0x175d","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf533","192.168.1.2","157.240.228.60","493","0x00","49971","443","674","213","441","32","0x0018","0","0","0","1","1","0","0","131072","0x7220","0",
"4","20",,"0x83f3","0x02","0","1","0","0","85","6","0x5df9","157.240.228.60","192.168.1.2","52","0x00","443","49971","213","1115","0","32","0x0010","0","0","0","0","1","0","0","67840","0x1f30","0",
"4","20",,"0x83f4","0x02","0","1","0","0","85","6","0x5d4d","157.240.228.60","192.168.1.2","223","0x00","443","49971","213","1115","171","32","0x0018","0","0","0","1","1","0","0","67840","0x32fb","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6ec","192.168.1.2","157.240.228.60","52","0x00","49971","443","1115","384","0","32","0x0010","0","0","0","0","1","0","0","130880","0x1787","0",
"4","20",,"0x83f5","0x02","0","1","0","0","85","6","0x5dad","157.240.228.60","192.168.1.2","126","0x00","443","49971","384","1115","74","32","0x0018","0","0","0","1","1","0","0","67840","0x149d","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6ec","192.168.1.2","157.240.228.60","52","0x00","49971","443","1115","458","0","32","0x0010","0","0","0","0","1","0","0","130944","0x173b","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6cd","192.168.1.2","157.240.228.60","83","0x00","49971","443","1115","458","31","32","0x0018","0","0","0","1","1","0","0","131072","0x786c","0",
